epoch_datetime,mjd,seconds_of_day,X,Y,Z,direction_flag,VX,VY,VZ
2005-11-30 07:05:00.000000,53704,25500.0,-8916.655687,7750.317131,3197.749798,0,0.80950744,3.097293513,-5.15866386
2005-11-30 07:10:00.000000,53704,25800.0,-8570.540023,8595.904052,1623.9410859999998,0,1.4899313170000001,2.526173722,-5.316230453999999
2005-11-30 07:15:00.000000,53704,26100.0,-8028.302815,9258.451235999999,18.416669000000002,0,2.114355993,1.879421926,-5.3698157769999995
2005-11-30 07:20:00.000000,53704,26400.0,-7309.013724,9717.520940999999,-1587.476893,0,2.6679798949999998,1.1723629679999998,-5.3187558710000005
2005-11-30 07:25:00.000000,53704,26700.0,-6435.867682,9957.532825999999,-3162.5074640000003,0,3.138157811,0.42198256900000003,-5.164470023
2005-11-30 07:30:00.000000,53704,27000.0,-5435.492115,9968.195604,-4676.173868,0,3.514694282,-0.353522043,-4.910398205000001
2005-11-30 07:35:00.000000,53704,27300.0,-4337.177581,9744.7998,-6099.297407,0,3.790059986,-1.135216308,-4.561896238999999
2005-11-30 07:40:00.000010,53704,27600.00001,-3172.05546,9288.366438,-7404.576239,0,3.959528149,-1.903912115,-4.126094441999999
2005-11-30 07:45:00.000000,53704,27900.0,-1972.246703,8605.650901,-8567.092712,0,4.021231377,-2.640647493,-3.61172639
2005-11-30 07:50:00.000000,53704,28200.0,-770.005107,7709.004997,-9564.765652,0,3.976142027,-3.3271502529999997,-3.0289343349999998
2005-11-30 07:55:00.000000,53704,28500.0,403.12266600000004,6616.103644999999,-10378.741546,0,3.827981143,-3.946275472,-2.389057292
2005-11-30 08:00:00.000000,53704,28800.0,1517.099807,5349.545292000001,-10993.720229,0,3.583062313,-4.48240843,-1.704407177
2005-11-30 08:05:00.000000,53704,29100.0,2544.1463820000004,3936.337504,-11398.212214,0,3.250077714,-4.921826296,-0.9880376949999999
2005-11-30 08:10:00.000000,53704,29400.0,3459.414469,2407.2808760000003,-11584.726095,0,2.839834179,-5.253013503999999,-0.25350981899999997
2005-11-30 08:15:00.000000,53704,29700.0,4241.577606,796.265772,-11549.885456,0,2.364947152,-5.466927068,0.48534329000000004
2005-11-30 08:20:00.000000,53704,30000.0,4873.323066,-860.5026650000001,-11294.475416,0,1.8395002159999998,-5.557208948,1.2146499530000001
2005-11-30 08:25:00.000010,53704,30300.00001,5341.737756,-2525.334965,-10823.419474999999,0,1.278677553,-5.520343149,1.9207308459999999
2005-11-30 08:30:00.000000,53704,30600.0,5638.5806809999995,-4159.926363,-10145.687629,0,0.698376393,-5.355755424,2.590326153
2005-11-30 08:35:00.000000,53704,30900.0,5760.436995,-5726.246868,-9274.137015,0,0.114806314,-5.065853443,3.210818036
2005-11-30 08:40:00.000000,53704,31200.0,5708.75074,-7187.434167,-8225.286685,0,-0.455917587,-4.656005255,3.770447037
2005-11-30 08:45:00.000000,53704,31500.0,5489.735549,-8508.670602,-7019.028615,0,-0.998180236,-4.134454284,4.258520355
2005-11-30 08:50:00.000000,53704,31800.0,5114.164846,-9658.02496,-5678.27777,0,-1.4972629199999998,-3.5121697519999997,4.665609395000001
2005-11-30 08:55:00.000000,53704,32100.0,4597.045585,-10607.239673,-4228.5649189999995,0,-1.939722037,-2.802632295,4.98373329
2005-11-30 09:00:00.000000,53704,32400.0,3957.1821019999998,-11332.444081,-2697.576988,0,-2.313741304,-2.021555791,5.206524332
2005-11-30 09:05:00.000000,53704,32700.0,3216.639455,-11814.775022,-1114.651088,0,-2.609448083,-1.186548311,5.329370622000001
2005-11-30 09:10:00.000010,53704,33000.00001,2400.118429,-12040.887176,489.77022700000003,0,-2.819184418,-0.316717333,5.349531039
2005-11-30 09:15:00.000000,53704,33300.0,1534.257149,-12003.337533,2084.713449,0,-2.9377238390000002,0.567773269,5.266217837
2005-11-30 09:20:00.000000,53704,33600.0,646.876799,-11700.830911000001,3639.267988,0,-2.9624259659999996,1.446184688,5.080642675
2005-11-30 09:25:00.000000,53704,33900.0,-233.808871,-11138.316729,5123.187954,0,-2.8933223779999997,2.29771129,4.796022755
2005-11-30 09:30:00.000000,53704,34200.0,-1079.998877,-10326.931017,6507.489484,0,-2.733129075,3.102001806,4.417544829000001
2005-11-30 09:35:00.000000,53704,34500.0,-1865.10274,-9283.781938999999,7765.030836,0,-2.4871831739999997,3.839678977,3.9522862300000003
2005-11-30 09:40:00.000000,53704,34800.0,-2564.507842,-8031.581534,8871.062402000001,0,-2.1633039600000004,4.492842533,3.409093461
2005-11-30 09:45:00.000000,53704,35100.0,-3156.294069,-6598.130934999999,9803.734134,0,-1.771581003,5.0455406300000005,2.798420216
2005-11-30 09:50:00.000000,53704,35400.0,-3621.874552,-5015.670671,10544.548675,0,-1.324094483,5.484195595999999,2.132127886
2005-11-30 09:55:00.000010,53704,35700.00001,-3946.543255,-3320.1117179999997,11078.749512,0,-0.834575211,5.797971166,1.4232527030000002
2005-11-30 10:00:00.000000,53704,36000.0,-4119.912673,-1550.166566,11395.634878,0,-0.31801374299999996,5.979070149999999,0.685744452
2005-11-30 10:05:00.000000,53704,36300.0,-4136.227984,253.597408,11488.78969,0,0.209770372,6.022953319,-0.065817723
2005-11-30 10:10:00.000000,53704,36600.0,-3994.547549,2049.7574879999997,11356.22955,0,0.73258678,5.928472366,-0.8165262830000001
2005-11-30 10:15:00.000000,53704,36900.0,-3698.783496,3797.061552,11000.452776,0,1.234346491,5.697912229,-1.551456299
2005-11-30 10:20:00.000000,53704,37200.0,-3257.6003220000002,5455.452802,10428.398487,0,1.6995339530000002,5.33694063,-2.255979588
2005-11-30 10:25:00.000000,53704,37500.0,-2684.173677,6987.065445,9651.310878,0,2.113664683,4.854465158,-2.916074805
2005-11-30 10:30:00.000000,53704,37800.0,-1995.815803,8357.163978,8684.511993,0,2.463714264,4.262400886,-3.5186260120000004
2005-11-30 10:35:00.000000,53704,38100.0,-1213.478284,9535.000027,7547.087618,0,2.738505071,3.5753544010000002,-4.051702121
2005-11-30 10:40:00.000010,53704,38400.00001,-361.146704,10494.562928,6261.493142,0,2.929038261,2.810233051,-4.50480977
2005-11-30 10:45:00.000000,53704,38700.0,534.8547269999999,11215.203265,4853.088400000001,0,3.028760268,1.985790915,-4.869112795
2005-11-30 10:50:00.000000,53704,39000.0,1446.627541,11682.112417,3349.6124649999997,0,3.033755137,1.122125295,-5.137612183
2005-11-30 10:55:00.000000,53704,39300.0,2345.509171,11886.645583000001,1780.611038,0,2.942856618,0.240139637,-5.30528138
2005-11-30 11:00:00.000000,53704,39600.0,3202.904289,11826.480846,176.83041,0,2.757677058,-0.639009504,-5.369153396
2005-11-30 11:05:00.000000,53704,39900.0,3991.1123399999997,11505.612187,-1430.407269,0,2.4825535679999997,-1.494463369,-5.328358266
2005-11-30 11:10:00.000000,53704,40200.0,4684.126956,10934.179754,-3009.832577,0,2.1244151849999997,-2.306192379,-5.184111614000001
2005-11-30 11:15:00.000000,53704,40500.0,5258.3844340000005,10128.145612,-4530.846946000001,0,1.692577454,-3.055492336,-4.939656869999999
2005-11-30 11:20:00.000000,53704,40800.0,5693.440762,9108.827639000001,-5964.116981,0,1.198473066,-3.725431912,-4.600165139
2005-11-30 11:25:00.000010,53704,41100.00001,5972.559521,7902.3078909999995,-7282.133028,0,0.6553289160000001,-4.301240448,-4.172597931
2005-11-30 11:30:00.000000,53704,41400.0,6083.196287,6538.734614,-8459.721751000001,0,0.077801044,-4.770628082999999,-3.665538882
2005-11-30 11:35:00.000000,53704,41700.0,6017.368695,5051.5390130000005,-9474.504378,0,-0.518420679,-5.1240333609999995,-3.089000977
2005-11-30 11:40:00.000000,53704,42000.0,5771.904802,3476.588886,-10307.294249,0,-1.117026632,-5.35479645,-2.454215617
2005-11-30 11:45:00.000000,53704,42300.0,5348.5657759999995,1851.301416,-10942.429085000002,0,-1.701509509,-5.459258452,-1.7734092929999998
2005-11-30 11:50:00.000000,53704,42600.0,4754.0419950000005,213.736961,-11368.035034,0,-2.25558464,-5.436789308000001,-1.059572843
2005-11-30 11:55:00.000000,53704,42900.0,3999.824405,-1398.305273,-11576.220882,0,-2.763599991,-5.289748081,-0.326227182
2005-11-30 12:00:00.000000,53704,43200.0,3101.955366,-2948.170073,-11563.201825999999,0,-3.210928344,-5.023380207,0.41281163400000004
2005-11-30 12:05:00.000000,53704,43500.0,2080.665358,-4401.189377999999,-11329.352913,0,-3.584335037,-4.645656472,1.1436660779999999
2005-11-30 12:10:00.000010,53704,43800.00001,959.9037950000001,-5725.468984,-10879.192747,0,-3.8723152140000003,-4.167058523,1.852628229
2005-11-30 12:15:00.000000,53704,44100.0,-233.226051,-6892.603465,-10221.298374,0,-4.06539487,-3.600315519,2.5263872849999998
2005-11-30 12:20:00.000000,53704,44400.0,-1469.116305,-7878.305332999999,-9368.152578,0,-4.156390077,-2.9600964829999996,3.152252507
2005-11-30 12:25:00.000000,53704,44700.0,-2716.374537,-8662.935834,-8335.92514,0,-4.140618759,-2.2626630380000003,3.718370249
2005-11-30 12:30:00.000000,53704,45000.0,-3942.599519,-9231.926253,-7144.190097,0,-4.016059456,-1.525487609,4.213933212
2005-11-30 12:35:00.000000,53704,45300.0,-5115.195994,-9576.080214,-5815.581711,0,-3.7834516600000003,-0.766842884,4.629379327
2005-11-30 12:40:00.000000,53704,45600.0,-6202.210139000001,-9691.749342000001,-4375.392729,0,-3.4463327589999997,-0.005369335,4.956576927
2005-11-30 12:45:00.000000,53704,45900.0,-7173.166085,-9580.876873,-2851.119655,0,-3.0110074869999996,0.740371189,5.1889921590000005
2005-11-30 12:50:00.000000,53704,46200.0,-7999.882761,-9250.9064,-1271.9610249999998,0,-2.486447018,1.452346497,5.321834077
2005-11-30 12:55:00.000010,53704,46500.00001,-8657.249766,-8714.55592,331.72389899999996,0,-1.884116628,2.113499209,5.352172575
2005-11-30 13:00:00.000000,53704,46800.0,-9123.940913,-7989.460636,1928.987139,0,-1.217732979,2.708174544,5.279024430000001
2005-11-30 13:05:00.000000,53704,47100.0,-9383.044811000002,-7097.691531,3488.8844950000002,0,-0.50295448,3.222518747,5.10340317
2005-11-30 13:10:00.000000,53704,47400.0,-9422.593235,-6065.160321,4981.077137,0,0.24298928,3.644836089,4.82832931
2005-11-30 13:15:00.000000,53704,47700.0,-9235.970211,-4920.924980000001,6376.430007,0,1.001720543,3.9658929929999998,4.45879862
2005-11-30 13:20:00.000000,53704,48000.0,-8822.18765,-3696.413238,7647.5942620000005,0,1.7541781470000002,4.179159074,4.001707412
2005-11-30 13:25:00.000000,53704,48300.0,-8186.016828,-2424.5843309999996,8769.560893,0,2.4811115150000003,4.280976616,3.465735221
2005-11-30 13:30:00.000000,53704,48600.0,-7337.969017,-1139.051436,9720.172955,0,3.163590031,4.270652266,2.861186665
2005-11-30 13:35:00.000000,53704,48900.0,-6294.122793,126.81122,10480.584595,0,3.783513268,4.150467204,2.199795442
2005-11-30 13:40:00.000010,53704,49200.00001,-5075.800002999999,1340.751909,11035.656085,0,4.324107266,3.925604631,1.494494455
2005-11-30 13:45:00.000000,53704,49500.0,-3709.096783,2472.490942,11374.275403000001,0,4.770392244,3.6039960289999997,0.7591568949999999
2005-11-30 13:50:00.000000,53704,49800.0,-2224.280282,3494.512354,11489.598473,0,5.109607841,3.196090131,0.008313846
2005-11-30 13:55:00.000000,53704,50100.0,-655.065828,4382.7754589999995,11379.201927999999,0,5.331582974,2.71455085,-0.7431454649999999
2005-11-30 14:00:00.000000,53704,50400.0,962.20711,5117.326138,11045.144165,0,5.429038798,2.173892574,-1.480284065
2005-11-30 14:05:00.000000,53704,50700.0,2589.47856,5682.790602,10493.93257,0,5.397815079,1.590063231,-2.18843129
