epoch_datetime,X_km,Y_km,Z_km
2023-01-01 13:50:00,7472.685904,-5924.4034919999995,-7644.091622000001
2023-01-01 13:55:00,6053.307223,-5985.9838310000005,-8772.123293999999
2023-01-01 14:00:00,4519.407684000001,-5868.493387,-9728.123856
2023-01-01 14:05:00,2908.2809389999998,-5570.0997,-10493.539042999999
2023-01-01 14:10:00,1258.611544,-5094.099604,-11053.620261
2023-01-01 14:15:00,-390.509144,-4448.876325,-11397.700029
2023-01-01 14:20:00,-2000.562238,-3647.7151,-11519.380831
2023-01-01 14:25:00,-3534.549878,-2708.483818,-11416.635693
2023-01-01 14:30:00,-4957.889131,-1653.188633,-11091.820785
2023-01-01 14:35:00,-6239.229678999999,-507.417527,-10551.602072000001
2023-01-01 14:40:00,-7351.176448,700.312678,-9806.799448999998
2023-01-01 14:45:00,-8270.901323,1939.2882690000001,-8872.153093
2023-01-01 14:50:00,-8980.631176,3177.3903560000003,-7766.017839
2023-01-01 14:55:00,-9468.002665,4381.925891,-6509.992383000001
2023-01-01 15:00:00,-9726.2776,5520.476809999999,-5128.491059
2023-01-01 15:05:00,-9754.416073999999,6561.745775,-3648.266772
2023-01-01 15:10:00,-9557.008046,7476.377305,-2097.894381
2023-01-01 15:15:00,-9144.067388,8237.733786,-507.224361
2023-01-01 15:20:00,-8530.695699999998,8822.607146,1093.183037
2023-01-01 15:25:00,-7736.626156,9211.848659,2672.632736
2023-01-01 15:30:00,-6785.6604179999995,9390.901543,4200.868557
2023-01-01 15:35:00,-5705.013944,9350.223457,5648.635603
2023-01-01 15:40:00,-4524.586934,9085.588781999999,6988.221718999999
2023-01-01 15:45:00,-3276.179499,8598.263482,8193.969098
2023-01-01 15:50:00,-1992.670494,7895.048205,9242.747901
2023-01-01 15:55:00,-707.179809,6988.188194,10114.384595000001
2023-01-01 16:00:00,547.76616,5895.151274,10792.038511
2023-01-01 16:05:00,1741.0465490000001,4638.277836,11262.52089
2023-01-01 16:10:00,2843.716961,3244.309202,11516.551363
2023-01-01 16:15:00,3829.721625,1743.803147,11548.947381
2023-01-01 16:20:00,4676.530216,170.447733,11358.742698999999
2023-01-01 16:25:00,5365.684109,-1439.713072,10949.231549
2023-01-01 16:30:00,5883.238396,-3049.126134,10327.935809
2023-01-01 16:35:00,6220.08784,-4619.630105,9506.493312
2023-01-01 16:40:00,6372.167144999999,-6113.390141,8500.466471999998
2023-01-01 16:45:00,6340.518522,-7493.843951000001,7329.071792000001
2023-01-01 16:50:00,6131.222612,-8726.635036,6014.832489
2023-01-01 16:55:00,5755.192302,-9780.50789,4583.158455
2023-01-01 17:00:00,5227.832912,-10628.139606,3061.859955
2023-01-01 17:05:00,4568.576305,-11246.882933,1480.6037250000002
2023-01-01 17:10:00,3800.3007230000003,-11619.397450999999,-129.677689
2023-01-01 17:15:00,2948.652162,-11734.148145,-1737.4105120000002
2023-01-01 17:20:00,2041.286845,-11585.754384,-3311.023741
2023-01-01 17:25:00,1107.057442,-11175.17695,-4819.596886
2023-01-01 17:30:00,175.167984,-10509.736248,-6233.495364
2023-01-01 17:35:00,-725.6764840000001,-9602.960573,-7524.977824
2023-01-01 17:40:00,-1568.099388,-8474.269039,-8668.760678999999
2023-01-01 17:45:00,-2326.836187,-7148.499136,-9642.526768
2023-01-01 17:50:00,-2979.44891,-5655.2936150000005,-10427.367027
2023-01-01 17:55:00,-3506.9513500000003,-4028.365366,-11008.146377000001
2023-01-01 18:00:00,-3894.3279580000003,-2304.6620099999996,-11373.787412
2023-01-01 18:05:00,-4130.933244,-523.454004,-11517.467797000001
2023-01-01 18:10:00,-4210.762428,1274.628678,-11436.729535
2023-01-01 18:15:00,-4132.588033,3048.585876,-11133.500215
2023-01-01 18:20:00,-3899.960952,4758.0374249999995,-10614.02806
2023-01-01 18:25:00,-3521.078132,6364.1898439999995,-9888.734051000001
